"session","player","stage","step","round","time","timestamp","phase","trial","email_id","email_type","class_val","classification","class_time","confidence","conf_time","accuracy"
"room000003","900402100722750","phase 3","phase 3",1,14016,1679677716848,"phase 3",1,"160","PHISHING",1,"HAM",12407,50,14016,0
"room000003","900402100722750","phase 3","phase 3",2,2207,1679677719205,"phase 3",2,"149","PHISHING",1,"HAM",610,45,2207,0
"room000003","900402100722750","phase 3","phase 3",3,1837,1679677721205,"phase 3",3,"343","HAM",1,"HAM",644,45,1837,1
"room000003","900402100722750","phase 3","phase 3",4,1847,1679677723208,"phase 3",4,"130","PHISHING",1,"HAM",438,75,1847,0
"room000003","900402100722750","phase 3","phase 3",5,2300,1679677725660,"phase 3",5,"321","HAM",1,"HAM",444,25,2300,1
"room000003","900402100722750","phase 3","phase 3",6,1555,1679677727385,"phase 3",6,"271","HAM",1,"HAM",413,55,1555,1
"room000003","900402100722750","phase 3","phase 3",7,2128,1679677729675,"phase 3",7,"98","PHISHING",1,"HAM",630,30,2129,0
"room000003","900402100722750","phase 3","phase 3",8,3028,1679677732869,"phase 3",8,"14","PHISHING",1,"HAM",1409,65,3028,0
"room000003","900402100722750","phase 3","phase 3",9,1978,1679677734999,"phase 3",9,"26","PHISHING",1,"HAM",693,35,1978,0
"room000003","900402100722750","phase 3","phase 3",10,1570,1679677736734,"phase 3",10,"259","HAM",1,"HAM",499,65,1570,1
"room000003","900402100722750","phase 3","phase 3",11,1979,1679677738872,"phase 3",11,"326","HAM",1,"HAM",497,25,1979,1
"room000003","900402100722750","phase 3","phase 3",12,2181,1679677741209,"phase 3",12,"154","PHISHING",1,"HAM",602,65,2181,0
"room000003","900402100722750","phase 3","phase 3",13,2017,1679677743379,"phase 3",13,"245","HAM",1,"HAM",656,45,2017,1
"room000003","900402100722750","phase 3","phase 3",14,1800,1679677745338,"phase 3",14,"174","PHISHING",1,"HAM",552,65,1800,0
"room000003","900402100722750","phase 3","phase 3",15,1789,1679677747281,"phase 3",15,"261","HAM",1,"HAM",445,45,1789,1
"room000003","900402100722750","phase 3","phase 3",16,1718,1679677749161,"phase 3",16,"246","HAM",1,"HAM",488,55,1718,1
"room000003","900402100722750","phase 3","phase 3",17,2843,1679677752171,"phase 3",17,"109","PHISHING",1,"HAM",756,45,2843,0
"room000003","900402100722750","phase 3","phase 3",18,1845,1679677754182,"phase 3",18,"237","HAM",1,"HAM",692,70,1846,1
"room000003","900402100722750","phase 3","phase 3",19,1813,1679677756167,"phase 3",19,"40","PHISHING",1,"HAM",526,30,1814,0
"room000003","900402100722750","phase 3","phase 3",20,2392,1679677758714,"phase 3",20,"244","HAM",1,"HAM",745,50,2392,1
