EmailID,Type,Sender,Subject,Body,Link,LinkText,sender_mismatch,request_credentials,subject_suspecious,urgent,offer,link_mismatch
1,phishing,noreply@powerballs.com,You Have Won!,"PLEASE DO NOT RESPOND TO THIS EMAIL Records show that you entered to win the state's powerball jackpot on 11/15/2022. You are receiving this email because you have been listed as one of the winners. To claim your prize please visit the site below and fill out all information needed to collect. You must process all information within a weeks time or you may lose out on your winnings. Congratulations! Collect your earnings! please click here Your prompt response regarding this matter is appreciated. Sincerely, Powerball Team",http://www.google.com,please click here,0,1,1,1,1,1
2,phishing,noreply@paypalceo.com,PayPal Breach,"RESPONES TO THIS EMAIL WILL NOT BE VIEWED Dear member, As part of the Paypal team, we are here to inform you of attacks on the system early yesterday morning. Your account has been flagged as being one of the many that were breached. Please log onto the site and fill out all the information needed for the system to scan and detect any fradulent behaviors. If you verify your information and help with the case, your account will be rewarded $10 for promptness and assisting the investigation Verify Information Thank you, Paypal CEO",http://www.google.com,Verify Information,1,1,1,1,1,1
3,phishing,support@credit.chase.com,URGENT: Fraudulent activity detected,"Hello, We are writing to inform you that on 11/13/22, a suspicious charge of $2,334 was made to your Chase Freedom(R) Credit Card. To protect your account safety, we have frozen your credit card. To reactivate your card and confirm/dispute the charges, please login to your account via the following link: www.chasecreditcard.com/reactivate Your credit card will remain suspended until action is taken. If you have any questions, you may submit a question through the Chase Customer Service Portal- Thank you for your response, Holly Redig JP Morgan Chase Bank",http://www.chasecreditcard.com/reactivate,www.chasecreditcard.com/reactivate,1,1,1,1,1,1
4,phishing,mary@yahoo.com,Donations needed for Mark,"Hello, I'm contacting you through Mark's email contact list. In case you didn't know, Mark is in the hospital with a life threatening condition. We are trying to collect some money to help Mark and his family pay for his medical bills. If we cannot pay Mark's bills, Mark will be removed from life support. His bills are estimated at $400,000. If you could spare some change for Mark's cause, it would really help him. You can donate through Mark's Go Fund Me page at gofundme.com/MarkAccident. Thank you for your generosity. Mary (Family friend of Mark)",http://gofundme.com/MarkAccident,gofundme.com/MarkAccident,0,1,0,1,0,0
5,phishing,support@security.amazon.com,Your Amazon Account ,"The account number associated with your email address has been suspended. Account Number : 108-4596473-8009841 FF Dear Valued Customer, We were unable to validate important details about your Amazon Shopping account. Your Amazon Shopping account has been suspended until all verification steps have been completed. We are sorry for any inconvience and we look forward to having you as a customer again, thank you for you prompt attention to this matter. Please visit your account details to confirm the payment information for your account. Verify Account Information Account Details Account #108-4596473-8009841 Amazon IT Team Conditions of Use Privacy Notice 1996-2017, Amazon.com, Inc. or its affiliates 11/10/2022",http://Amazon-Security.html,Verify Account Information,1,1,0,1,0,1
6,phishing,account@micrsoft.com,RE: Help Desk,"Dear user, Regarding your account, we have noticed unusual and suspicious activity and are looking into it to ensure that none of your information is at risk. To ensure that this email is being sent to the right user, please follow the link below to verify your identity. CLICK HERE TO LOGIN USING SECURE ENCRYPTION Please take action immediately. If you do not respond within 24 hours we will be forced to suspend your account. We understand this is an inconvenience to you but we take the privacy and security of our users as our number one priority. After verifying your account, we will offer you compensation for the inconvenience. Again, we apologize, and hope to have this simple matter resolved shortly. Elizabeth Hollinger ITS Account Evaluations Connected to Microsoft Exchange 2020 Microsoft Corporation. All rights reserved. Disclaimer: This electronic message may contain information that is Proprietary, Confidential, or legally privileged or protected. It is intended only for the use of the individual(s) and entity named in the message. If you are not an intended recipient of this message, please notify the sender immediately and delete the material from your computer. Do not deliver, distribute or copy this message and do not disclose its contents or take any action in reliance on the information it contains.",http://www.google.com,CLICK HERE TO LOGIN USING SECURE ENCRYPTION,1,1,0,1,0,1
7,phishing,safety@privacy.chase.com,Update for you Account,"Dear Valued Chase Memeber: We are committed to providing the tools you need to ensure the safety of your personal information. Your account has been recently compromised from a different ip address. For your safety we have blocked access to all of your online accounts. Please access our site through the link below to update your security info. Click here: https://chaseonline.chase.com/Logon.aspx Thank you for being our customer. Your safety is our number one concern. Sincerely, JP Morgan Chase Bank, N.A. Chase Privacy Operations, P.O. Box 659752, San Antonio, TX 78265-9752. 2022 JPMorgan Chase & Co.",http://Chase-Security.html,https://chaseonline.chase.com/Logon.aspx,0,1,0,1,0,1
8,phishing,customer@fed.ex.com,RE: FED EX TRACKING NUMBER,"Dear user, Unfortunately, we missed you today, please check your door for our fed ex Click here to verify. Elizabeth Hollinger ITS Account Evaluations Connected to Microsoft Exchange 2020 Microsoft Corporation. All rights reserved. Disclaimer: This electronic message may contain information that is Proprietary, Confidential, or legally privileged or protected. It is intended only for the use of the individual(s) and entity named in the message. If you are not an intended recipient of this message, please notify the sender immediately and delete the material from your computer. Do not deliver, distribute or copy this message and do not disclose its contents or take any action in reliance on the information it contains.",http://www.verify1.com,Click here to verify. ,1,1,0,0,0,1
9,phishing,jeremyp@gmail.com,Summer Internship Application,"To Whom It May Concern: I am replying to your post about the summer internship. I am currently pursuing my Masters' in Accounting at the Kelley School of Business at Indiana University. I am also pursuing my CPA following my completion of my degree. I have expertise in Microsoft Access, Excel, Word and Powerpoint, Telnet and Ethernet Configuration. Here is the link to my CV and resume. Thanks for taking the time to look at my application. Sincerely look forward to joining your team! Best Regards, Jeremy Paulson.",http://www.jhgvd56sh.com,link ,0,0,0,0,0,1
10,phishing,offer@coupons.walmart.com,Walmart Reward Coupons,"Account No: 108-455294-800125-MN Dear Walmart User, We at Walmart Online Services are happy to announce that you have been chosen as the 'User of the Month' lottery winner . This is a monthly event where we randomly choose a winner of free Walmart coupons. These coupons total more than $340! Congratulations, we hope to see you shopping soon! Claim Your Coupons Walmart Online Services, 17/11/2022",http://www.walmaart.com/rewards/coupons,Claim Your Coupons,1,0,0,0,1,1
