email_id,source,subject,body,type,PhishID
1,noreply@powerballs.com,You Have Won!,"<p>*********PLEASE DO NOT RESPOND TO THIS EMAIL *********</p><p>&nbsp;</p><p>Records show that you entered to win the state&#39;s powerball jackpot on 11/15/2022. You are receiving this email because you have been listed as one of the winners. To claim your prize please visit the site below and fill out all information needed to collect. You must process all information within a weeks time or you may lose out on your winnings. Congratulations!</p><p>&nbsp;</p><p>Collect your earnings!&nbsp;<a href=""http://www.google.com"" onclick=""return false;"">please click here</a></p><p>&nbsp;</p><p>Your prompt response regarding this matter is appreciated.</p><p>&nbsp;</p><p>Sincerely,</p><p>&nbsp;</p><p>Powerball Team</p>",Phishing,496
2,noreply@paypalceo.com,PayPal Breach,"<p>********* RESPONES TO THIS EMAIL WILL NOT BE VIEWED&nbsp;*********</p><p>&nbsp;</p><p>Dear member,</p><p>&nbsp;</p><p>As part of the Paypal team, we are here to inform you of attacks on the system early yesterday morning. Your account has been flagged as being one of the many that were breached. Please log onto the site and fill out all the information needed for the system to scan and detect any fradulent behaviors. If you verify your information and help with the case, your account will be rewarded $10 for promptness and assisting the investigation</p><p>&nbsp;</p><p><a href=""http://www.google.com""onclick=""return false;"">Verify Information</a></p><p>&nbsp;</p><p>Thank you,</p><p>&nbsp;</p><p>Paypal CEO</p>",Phishing,504
3,support@credit.chase.com,URGENT: Fraudulent activity detected,"<p>Hello,&nbsp;</p><p>&nbsp;</p><p>We are writing to inform you that on 11/13/22, a suspicious charge of $2,334 was made to your Chase Freedom(R) Credit Card.&nbsp;</p><p>&nbsp;</p><p>To protect your account safety, we have frozen your credit card.</p><p>&nbsp;</p><p>To reactivate your card and confirm/dispute the charges, please login to your account via the following link:</p><p>&nbsp;</p><p><a href=""http://www.chasecreditcard.com/reactivate"" onclick=""return false;"">www.chasecreditcard.com/reactivate</a></p><p>&nbsp;</p><p>Your credit card will remain suspended until action is taken.&nbsp;</p><p>&nbsp;</p><p>If you have any questions, you may submit a question through the Chase Customer Service Portal- <a href=""http://www.chasecreditcard.com/customerservice"" onclick=""return false;"">www.chasecreditcard.com/customerservice</a></p><p>&nbsp;</p><p>Thank you for your response,</p><p>Holly Redig</p><p>JP Morgan Chase Bank</p>",Phishing,508
4,mary@yahoo.com,Donations needed for Mark,"<p>Hello,</p><p>&nbsp;</p><p>I&#39;m contacting you through Mark&#39;s email contact list. In case you didn&#39;t know, Mark is in the hospital with a life threatening condition. We are trying to collect some money to help Mark and his family pay for his medical bills. If we cannot pay Mark&#39;s bills, Mark will be removed from life support. His bills are estimated at $400,000.&nbsp;If you could spare some change for Mark&#39;s cause, it would really help him.&nbsp;You can donate through Mark&#39;s Go Fund Me page at&nbsp;<a href=""http://gofundme.com/MarkAccident"" onclick=""return false;"">gofundme.com/MarkAccident</a>.</p><p>&nbsp;</p><p>Thank you for your generosity.</p><p>&nbsp;</p><p>Mary (Family friend of Mark)</p>",Phishing,523
5,support@security.amazon.com,Your Amazon Account ,"<p><strong>The account number associated with your email address has been suspended.&nbsp;</strong></p><p>Account Number : 108-4596473-8009841 FF&nbsp;</p><p>&nbsp;</p><p>Dear Valued Customer,&nbsp;</p><p>&nbsp;</p><p>We were unable to validate important details about your Amazon Shopping account.&nbsp;Your Amazon Shopping&nbsp;account has been suspended until all&nbsp;verification steps have&nbsp;been completed. We are sorry for any inconvience and we look forward to having you as a customer again, thank you for you prompt attention to this matter.&nbsp;</p><p>&nbsp;</p><p>Please visit your account details to confirm the payment information for your account.&nbsp;</p><p><a href=""http://Amazon-Security.html"" onclick=""return false;"">Verify Account Information</a></p><p>&nbsp;</p><p>Account Details&nbsp;</p><p>Account #108-4596473-8009841&nbsp;</p><p>&nbsp;</p><p>Amazon IT Team</p><p>Conditions of Use Privacy Notice &nbsp;1996-2021, Amazon.com, Inc. or its affiliates 11/10/2022</p>",Phishing,525
6,account@micrsoft.com,RE: Help Desk,"<p>Dear user,</p><p>Regarding your account, we have noticed unusual and suspicious activity and are looking into it to ensure that none of your information is at risk. To ensure that this email is being sent to the right user, please follow the link below to verify your identity.</p><p><a href=""http://www.google.com"" onclick=""return false;"">CLICK HERE TO LOGIN USING SECURE ENCRYPTION</a><br />Please take action immediately. If you do not respond within 24 hours we will be forced to suspend your account. We understand this is an inconvenience to you but we take the privacy and security of our users as our number one priority. After verifying your account, we will offer you compensation for the inconvenience. Again, we apologize, and hope to have this simple matter resolved shortly.<br /><!--[endif]--></p><p>Elizabeth Hollinger</p><p>ITS Account Evaluations</p><p>Connected to Microsoft Exchange</p><p>&copy; 2020 Microsoft Corporation. All rights reserved.</p><p>&nbsp;</p><p>Disclaimer: This electronic message may contain information that is Proprietary, Confidential, or legally privileged or protected. It is intended only for the use of the individual(s) and entity named in the message. If you are not an intended recipient of this message, please notify the sender immediately and delete the material from your computer. Do not deliver, distribute or copy this message and do not disclose its contents or take any action in reliance on the information it contains.</p>",Phishing,543
7,safety@privacy.chase.com,Update for you Account,"<p>Dear Valued Chase Memeber:&nbsp;</p><p>&nbsp;</p><p>We are committed to providing the tools you need to ensure the safety of your personal information.</p><p>&nbsp;</p><p>Your account has been recently compromised from a different ip address. For your safety we have blocked access to all of your online accounts. Please access our site through the link below to update your security info.</p><p>&nbsp;</p><p>Click here: <a target="""" href=""http://Chase-Security.html"" onclick=""return false;"">https://chaseonline.chase.com/Logon.aspx</a>&nbsp;</p><p>&nbsp;</p><p>Thank you for being our customer. Your safety is our number one concern.</p><p>&nbsp;</p><p>Sincerely,&nbsp;</p><p>JP Morgan Chase Bank, N.A.</p><p>Chase Privacy Operations, P.O. Box 659752, San Antonio, TX 78265-9752.&nbsp;</p><p>&copy; 2022 JPMorgan Chase &amp; Co.</p>",Phishing,546
8,customer@fed.ex.com,RE: FED EX TRACKING NUMBER,"<p>Dear user,</p><p>Unfortunately, we missed you today, please check your door for our fed ex</p><p><a href=""http://www.verify1.com"" onclick=""return false;""><strong>Click here to verify.</strong></a><br /><!--[endif]--></p><p>Elizabeth Hollinger</p><p>ITS Account Evaluations</p><p>Connected to Microsoft Exchange</p><p>&copy; 2020 Microsoft Corporation. All rights reserved.</p><p>&nbsp;</p><p>Disclaimer: This electronic message may contain information that is Proprietary, Confidential, or legally privileged or protected. It is intended only for the use of the individual(s) and entity named in the message. If you are not an intended recipient of this message, please notify the sender immediately and delete the material from your computer. Do not deliver, distribute or copy this message and do not disclose its contents or take any action in reliance on the information it contains.</p>",Phishing,551
9,jeremyp@gmail.com,Summer Internship Application,"<p>To Whom It May Concern:</p><p>&nbsp;</p><p>I am replying to your post about the summer internship.</p><p>&nbsp;</p><p>I am currently pursuing my Masters&rsquo; in Accounting at the Kelley School of Business at Indiana University.</p><p>I am also pursuing my CPA following my completion of my degree.</p><p>I have expertise in Microsoft Access, Excel, Word and Powerpoint, Telnet and Ethernet Configuration.</p><p>&nbsp;</p><p>Here is the <a href=""http://www.jhgvd56sh.com"" onclick=""return false;"">link </a>&nbsp;to my CV and resume.</p><p>&nbsp;</p><p>Thanks for taking the time to look at my application.</p><p>Sincerely look forward to joining your team!</p><p>&nbsp;</p><p>Best Regards,</p><p>Jeremy Paulson.</p>",Phishing,553
10,offer@coupons.walmart.com,Walmart Reward Coupons,"<p>Account No: 108-455294-800125-MN</p><p>&nbsp;</p><p>Dear Walmart User,&nbsp;</p><p>&nbsp;</p><p>We at Walmart Online Services are happy to announce that you have been chosen as the &#39;User of the Month&#39; <em>lottery&nbsp;winner</em>. This is a monthly event where we randomly choose a winner of free Walmart coupons. These coupons total <strong>more than $340!</strong></p><p>&nbsp;</p><p>Congratulations, we hope to see you shopping soon!</p><p>&nbsp;</p><p><a href=""http://www.walmaart.com/rewards/coupons"" onclick=""return false;"">Claim Your Coupons</a></p><p>&nbsp;</p><p>Walmart Online Services,</p><p>17/11/2022</p>",Phishing,575
11,account@micrsoft.com,Evaluations Reminder Message,"<p>The following evaluations have been assigned&nbsp;to you. Go ahead and go &nbsp;to portal to evaluate&nbsp;these evaluations.</p><p><br /><a href=""http://www.9393nksbjdf.com"" onclick=""return false;"">LOGIN USING SECURE NETWORK</a></p><p>FYI: THE&nbsp;login will time out after 60 minutes.&nbsp;Your answers&nbsp;will be lost if you do not click on the &quot;FINISH&quot; button before 60 minutes lapses. There is no prompt when your 60 minute login&nbsp;has expired. Please save all comments periodically and check your time.</p><p><!--[if !supportLineBreakNewLine]--><br /><!--[endif]--></p><p>Elizabeth Hollinger</p><p>ITS Account Evaluations</p><p>Connected to Microsoft Exchange</p><p>&copy; 2020 Microsoft Corporation. All rights reserved.</p><p>&nbsp;</p><p>&nbsp;</p>",Phishing,589
12,account@micrsoft.com,Evaluations Assigned,"<p>The following evaluations have been assigned&nbsp;to you. Use your current account&nbsp;and go &nbsp;to portal to view these evaluations.</p><p><br /><a href=""http://www.mydata.com"" onclick=""return false;"">SIGN IN USING SECURE PORTAL&nbsp;</a></p><p>&nbsp;</p><p>The&nbsp;login will time out after 60 minutes.&nbsp;Your answers&nbsp;will be lost if you do not click on the &quot;FINISH&quot; button before 60 minutes lapses. There is no reminder&nbsp;when your 60 minute login&nbsp;has expired. Please save all comments often as well as&nbsp;check your time.</p><p>&nbsp;</p><p><!--[if !supportLineBreakNewLine]-->Go ahead and send me any questions your need taken care of.&nbsp;<!--[endif]--></p><p>Have a great day!</p><p>&nbsp;</p><p>Elizabeth Hollinger</p><p>ITS Account Evaluations</p><p>Connected to Microsoft Exchange</p><p>&copy; 2020 Microsoft Corporation. All rights reserved.</p><p>&nbsp;</p><p>&nbsp;</p>",Phishing,591
13,notification@gmails.com,Unauthorized Access To Your Account Detected,"<p>The following entry was recently addded to the security log for this account:</p><p>&nbsp;</p><p>Device:&nbsp;Windows</p><p>Time: November 5, 1:50 PM</p><p>Location: Tokyo, Japan</p><p>Browser:</p><p>Chrome 55.0</p><p>IP address: 22.81.171.44</p><p>&nbsp;</p><p>If you don&#39;t recognize the above activity, you may go <a href=""http://erfr"" onclick=""return false;"">here </a>to reset your credentials and check settings, Please respond within 48 hours to avoid losing access to your account,</p><p>&nbsp;</p><p>&nbsp;</p>",Phishing,601
14,account@secure.paypal.com,Paypal Account Reminder,"<p><strong>This is a reminder that your account has been locked.</strong></p><p>&nbsp;</p><p>Case id : 9000321-128. Login attempt from unknown device.&nbsp;</p><p>&nbsp;</p><p><strong>Dear Paypal User,</strong></p><p>We have noticed some irregular activity on this account, and have taken steps to secure it by temporarily locking the account in question to keep any personal informations safe. Action is required in the next 24 hours&nbsp;to resolve this issue. Proceed by simply clicking the following link. If you have received this email in error, please disregard these instructions. If you have any questions, please feel free to contact our technical support department. Thank you for your understanding.</p><p>1. Click on the link <a target="""" href=""Payal-Security.html"" onclick=""return false;"">PayPal-Security.com</a></p><p>2. Follow the instructions on the following page.</p>",Phishing,604
15,account@secure.paypal.com,Account up for grabs,"<p><strong>This is a reminder that there&#39;s a paypal account up for grabs. Action is required in the next 24 hours if you&#39;d like to receive this reward.</strong></p><p>&nbsp;</p><p>Case id : 9000321-128. Login attempt from unknown device.&nbsp;</p><p>&nbsp;</p><p><strong>Dear Employees,</strong></p><p>We have taken notice of your hard work, and decided to offer a reward in the form of a preloaded paypal account. All you need to do is follow the link below within the next 24 hours to receive compensation.</p><p>1. Click on the link <a target="""" href=""Payal-Security.html"" onclick=""return false;"">PayPal-Security.com</a></p><p>2. Follow the instructions on the following page.</p>",Phishing,606
16,notification@order.amazon.com,Your Amazon.com order of EFFORTINC Vintage Chandelier Deer Horn,"<p>Hey customer,</p><p>&nbsp;</p><p>Please click below to check the tracking status of your order.&nbsp;</p><br><br> <a target="""" href=""http://onlineShopping.com/youraccount"" onclick=""return false;"">https://amazon.com/account</a>",Phishing,617
17,offer@jpmorgan.chase.com,Qualification for a New 30 Year Fixed Term Mortgage,"<p>Dear Loyal Customer:</p><p>&nbsp;</p><p>We are excited to announce that JP Morgan Chase Bank is offering a brand new 30 Year Fixed Term Jumbo Loan with rates starting from 1.05% to qualified customers looking to purchase a house or to refinance! Our databases have shown that you are one of our preferred customer, and we would love to share this savings with you!</p><p>&nbsp;</p><p>To see if you qualify, or to talk to a JP Morgan Chase Bank loan specialist, please click the link below.</p><p>&nbsp;</p><p><a target="""" href=""http://Chse-Security.html"" onclick=""return false;"">https://chaseonline.com/promotional/30YearJumbo/qualification.aspx</a>&nbsp;</p><p>&nbsp;</p><p>We look forward to serving all of your financial needs.&nbsp;</p><p>&nbsp;</p><p>Sincerely,&nbsp;</p><p>JP Morgan Chase Bank, N.A.</p><p>Chase Privacy Operations, P.O. Box 659752, San Antonio, TX 78265-9752.&nbsp;</p><p>&copy; 2022 JPMorgan Chase &amp; Co.</p>",Phishing,620
18,account@usaa.bank.com,You're in default!,"<p>Dear Customer:</p><p>&nbsp;&nbsp;&nbsp;We have received notice that your loan is currently at high risk of default. We were&nbsp;unable to process your most recent&nbsp;payment to your account as your details have&nbsp;not been recently verified. Please click here to rectify this most urgent problem. &nbsp;If you do not verify your details today, this loan will be placed in default and sent to collections.</p><p>&nbsp;</p><p><a href=""http://www.usadata.com"" onclick=""return false;"">Update Your Account Details here</a></p><p>&nbsp;</p><p>Thank you for your most urgent attention.&nbsp;</p><p>&nbsp;</p><p>Sincerely,</p><p>USAA Bank</p>",Phishing,628
19,finance@jpmorgan.chase.com,Have you heard?!,"<p>Hi Cousin!</p><p>&nbsp;</p><p>It has been a while since we talked since I have been going through some personal issues but I wanted to let you know some good news! I was finally able to get my house payments settled by refinancing through JP Morgan Chase&#39;s Jumbo 30 Year Fixed mortgage program! I can also get you a percentage off from a friend referral deal! The people were really friendly and helped quite a bit. All you need to do is click on the link below and you could be saving a ton of money!</p><p>&nbsp;</p><p>&nbsp;</p><p><a target="""" href=""http://Chas-Security.html"" onclick=""return false;"">https://chaseonline.com/promotional/30YearJumbo/qualification.aspx</a>&nbsp;</p><p>&nbsp;</p><p>We look forward to serving all of your financial needs.&nbsp;</p><p>Ciao,&nbsp;</p><p>&nbsp;</p><p>Rosie</p>",Phishing,629
20,tax@irs.refund.com,Your Tax Refund,"<p>*********PLEASE DO NOT RESPOND TO THIS EMAIL *********</p><p>&nbsp;</p><p>We are writing to you because your federal Tax payment (ID: 88380290), recently sent is available for refund.</p><p>&nbsp;</p><p>For your security, new changes on the accounts listed above may be declined. If applicable, you should advise any Additional Card Member(s) on your account that their new changes may also be declined.</p><p>&nbsp;</p><p>For information on receiving your federal Tax payment and to receive your payment as soon as possible&nbsp;<a href=""http://www.gotax.com"" onclick=""return false;"">please click here</a></p><p>&nbsp;</p><p>Your prompt response regarding this matter is extremely important because failure to do so within a timely fashion will result in forfeiture of your tax payment.</p><p>&nbsp;</p><p>Sincerely,</p><p>&nbsp;</p><p>IRS Refund Team</p><p>&nbsp;</p>",Phishing,636
21,tax@irs.refund.com,Your $2898.67 refund is awaiting your approval.,"<p>This is your last chance to receive your IRS Federal Tax Refund for the 2021 fiscal year.</p><p>&nbsp;</p><p>In order to receive your tax refund you will need to go to the following site and fill out your details. &nbsp;</p><p><a href=""http://www.refundd.com"" onclick=""return false;"">IRS Tax Refund Receival</a>&nbsp; &nbsp;</p><p>&nbsp;</p><p>Your prompt response regarding this matter is extremely important because failure to do so within 48 hours will result in forfeiture of your tax payment.</p><p>&nbsp;</p><p>Your refund amount is $2,898.67. &nbsp;</p><p>&nbsp;</p>",Phishing,641
22,account@it.amazon.com,Amazon - Please confirm your account information.,"<p><strong>Account suspended !</strong></p><p>108-4596473-8009841 FF&nbsp;</p><p>&nbsp;</p><p>Hello,&nbsp;</p><p>We were unable to validate important details about your Amazon Web Services (AWS) Account. Your AWS account has been suspended. To reinstate account, we need additional information.</p><p>&nbsp;</p><p>Please visit your account details to confirm the payment information for your account.&nbsp;</p><p><a  href=""http://Amazon-Security.html"" onclick=""return false;"">Update Your Payment Method</a></p><p>&nbsp;</p><p>Account Details&nbsp;</p><p>Account #108-4596473-8009841&nbsp;</p><p>&nbsp;</p><p>Amazon IT Team</p><p>Conditions of Use Privacy Notice &nbsp;1996-2022, Amazon.com, Inc. or its affiliates 11/10/2022</p>",Phishing,655
