"session","player","stage","step","round","time","timeup"
"room000003","900402100722750","phase 3","phase 3",1,14016,0
"room000003","900402100722750","phase 3","phase 3",2,2207,0
"room000003","900402100722750","phase 3","phase 3",3,1837,0
"room000003","900402100722750","phase 3","phase 3",4,1847,0
"room000003","900402100722750","phase 3","phase 3",5,2300,0
"room000003","900402100722750","phase 3","phase 3",6,1555,0
"room000003","900402100722750","phase 3","phase 3",7,2128,0
"room000003","900402100722750","phase 3","phase 3",8,3028,0
"room000003","900402100722750","phase 3","phase 3",9,1978,0
"room000003","900402100722750","phase 3","phase 3",10,1570,0
"room000003","900402100722750","phase 3","phase 3",11,1979,0
"room000003","900402100722750","phase 3","phase 3",12,2181,0
"room000003","900402100722750","phase 3","phase 3",13,2017,0
"room000003","900402100722750","phase 3","phase 3",14,1800,0
"room000003","900402100722750","phase 3","phase 3",15,1789,0
"room000003","900402100722750","phase 3","phase 3",16,1718,0
"room000003","900402100722750","phase 3","phase 3",17,2843,0
"room000003","900402100722750","phase 3","phase 3",18,1845,0
"room000003","900402100722750","phase 3","phase 3",19,1813,0
"room000003","900402100722750","phase 3","phase 3",20,2392,0
"room000003","900402100722750","phase 3 feedback","phase 3 feedback",1,1382,0
